cluster,n_members,avg_mean_score,avg_std_score
0,6,16.945018547959723,2.8346317097249436
1,19,21.176502254377397,2.444549722833482
2,13,20.365413101671848,2.3546048325931044
3,27,18.33788001329,2.281699800539503
4,19,19.44983421295292,2.489268193394118
