participant,correlation,euclidean_distance,n_common_judges
81: Miyu Shindo,0.5498680059430283,9.848857801796104,17
47: David Khrikuli,0.4915830229083191,9.539392014169456,17
62: Eric Lu,0.4262320128915228,8.0,15
51: Shiori Kuwahara,0.36696707679063206,9.899494936611665,17
64: Tianyao Lyu,0.29243267446681886,10.583005244258363,16
