component,variance_explained,cumulative_variance
PC1,0.1554380154503989,0.1554380154503989
PC2,0.1440695060252394,0.2995075214756383
PC3,0.0956883064963378,0.3951958279719761
PC4,0.08473957930107064,0.47993540727304673
PC5,0.0666881328188731,0.5466235400919198
