cluster,n_members,avg_mean_score,avg_std_score,avg_n_stages
0,17,20.30635583745151,1.8985928881130174,2.176470588235294
1,3,20.486982831410074,1.9906001254014518,3.0
2,16,20.716711320244034,2.0009428425775306,3.0625
3,1,20.647058823529413,2.149381763818936,4.0
4,3,21.792003075740098,2.0337898295817394,4.0
