cluster,n_members,avg_mean_score,avg_std_score,avg_n_stages
0,10,21.008699106519856,1.9876786513828886,3.5
1,3,20.34421638530635,2.1350250817395007,3.0
2,26,20.461372655283984,1.9039676050468306,2.423076923076923
3,1,21.044117647058822,2.728696717665297,4.0
