cluster,n_members,avg_mean_score,avg_std_score
0,5,21.18954248366013,1.924603139798198
1,3,19.721132897603486,1.8441518637779135
2,1,20.647058823529413,2.4733877696033693
3,1,21.08823529411765,2.4253562503633295
4,1,21.058823529411764,2.656844656620286
