Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
28,Kai-Min,Chang,Kai-Min Chang,19.58625,18.543125,20.504375,1.9612499999999997,0.49735215202610705,16,40.0,40.0,41.0,1.0
65,Tiankun,Ma,Tiankun Ma,19.447058823529414,18.54705882352941,20.36764705882353,1.8205882352941174,0.47969532844451135,17,41.0,42.0,40.0,-2.0
32,Hoi Leong,Cheong,Hoi Leong Cheong,19.386875,18.285625,20.5625,2.2768750000000004,0.5829244017877527,16,42.0,39.0,46.0,7.0
71,Viet Trung,Nguyen,Viet Trung Nguyen,19.372142857142858,18.45819642857143,20.357142857142858,1.8989464285714277,0.47633067972196325,14,43.0,43.0,43.0,0.0
52,Shushi,Kyomasu,Shushi Kyomasu,19.297058823529408,18.57058823529412,20.120661764705883,1.5500735294117618,0.39845191427960225,17,44.0,46.0,39.0,-7.0
80,Jun,Shimada,Jun Shimada,19.249411764705883,18.307117647058824,20.132882352941177,1.825764705882353,0.4616139510584192,17,45.0,45.0,44.0,-1.0
36,Mateusz,Dubiel,Mateusz Dubiel,19.12470588235294,18.303411764705885,19.94470588235294,1.6412941176470568,0.4264204577092204,17,46.0,52.0,45.0,-7.0
50,Mateusz,Krzyżowski,Mateusz Krzyżowski,19.03058823529412,17.86470588235294,20.19655882352941,2.3318529411764715,0.5939952998951908,17,47.0,44.0,55.0,11.0
56,Luwangzi,Li,Luwangzi Li,19.02823529411765,18.021176470588237,19.96958823529412,1.948411764705881,0.4979853935185102,17,48.0,48.0,48.0,0.0
42,Wei-Ting,Hsieh,Wei-Ting Hsieh,19.023529411764706,17.971588235294114,19.96505882352941,1.9934705882352972,0.5270085381684269,17,49.0,50.0,51.0,1.0
7,Andrzej,Wierciński,Andrzej Wierciński,19.015,18.0225,19.94884375,1.926343750000001,0.4925068359281294,16,50.0,51.0,47.0,-4.0
38,Alberto,Ferro,Alberto Ferro,18.98235294117647,17.978823529411763,19.968411764705884,1.9895882352941214,0.48667054768577794,17,51.0,49.0,50.0,1.0
49,Kaito,Kobayashi,Kaito Kobayashi,18.957647058823532,17.809058823529412,19.929764705882356,2.1207058823529437,0.5358203260493322,17,52.0,53.0,56.0,3.0
14,Fanze,Yang,Fanze Yang,18.948823529411765,17.94863235294118,19.855882352941176,1.9072499999999977,0.4760584965597325,17,53.0,55.0,53.0,-2.0
82,Mana,Shoji,Mana Shoji,18.92625,17.87115625,20.04009375,2.168937500000002,0.5499723352119061,16,54.0,47.0,54.0,7.0
40,Shuguang,Gong,Shuguang Gong,18.91375,18.014703125,19.800703125000002,1.7860000000000014,0.4498422762202326,16,55.0,56.0,49.0,-7.0
72,Yuya,Nishimoto,Yuya Nishimoto,18.839375,17.788453125,19.86625,2.0777968750000007,0.5456493080120092,16,56.0,54.0,58.0,4.0
17,Yichen,Yu,Yichen Yu,18.791764705882354,17.695029411764708,19.781441176470587,2.086411764705879,0.538379334285928,17,57.0,58.0,59.0,1.0
33,Diana,Cooper,Diana Cooper,18.713529411764707,17.806470588235296,19.55430882352941,1.7478382352941146,0.4519973861255835,17,58.0,60.0,57.0,-3.0
10,Maiqi,Wu,Maiqi Wu,18.66375,17.9525,19.35184375,1.3993437499999999,0.3638336053210827,16,59.0,64.0,52.0,-12.0
22,Hanyuan,Zhu,Hanyuan Zhu,18.59375,17.421875,19.796875,2.375,0.6164218795547007,16,60.0,57.0,67.0,10.0
66,Xuanyi,Mao,Xuanyi Mao,18.562352941176474,17.531764705882352,19.66588235294118,2.134117647058826,0.5369020805017046,17,61.0,59.0,65.0,6.0
44,Hasan,Ignatov,Hasan Ignatov,18.50529411764706,17.532941176470587,19.450088235294118,1.9171470588235309,0.5050956699827213,17,62.0,62.0,64.0,2.0
6,Jan,Widlarz,Jan Widlarz,18.5,17.6859375,19.3125,1.6265624999999986,0.4087610663639579,16,63.0,65.0,60.0,-5.0
18,Yuewen,Yu,Yuewen Yu,18.46117647058824,17.419176470588233,19.520191176470586,2.1010147058823527,0.5336557038411698,17,64.0,61.0,68.0,7.0
1,Ziye,Tao,Ziye Tao,18.41375,17.370625,19.394375,2.0237499999999997,0.5304703157870851,16,65.0,63.0,69.0,6.0
8,Krzysztof,Wierciński,Krzysztof Wierciński,18.404117647058825,17.59722058823529,19.203367647058823,1.606147058823531,0.41308501552113575,17,66.0,66.0,62.0,-4.0
16,Yuanfan,Yang,Yuanfan Yang,18.37705882352941,17.647058823529413,19.10766176470588,1.460602941176468,0.37910272820506835,17,67.0,69.0,61.0,-8.0
23,Jingting,Zhu,Jingting Zhu,18.331875,17.432640625,19.145453125,1.7128124999999983,0.42438124018561935,16,68.0,68.0,66.0,-2.0
9,Victoria,Wong,Victoria Wong,18.28875,17.581765625,18.937875,1.356109374999999,0.3493028802374631,16,69.0,70.0,63.0,-7.0
84,Eva,Strejcova,Eva Strejcova,18.111764705882354,17.042205882352942,19.16,2.1177941176470583,0.539233528624732,17,70.0,67.0,71.0,4.0
27,Michał,Basista,Michał Basista,17.871764705882352,16.996470588235294,18.73664705882353,1.740176470588235,0.4500556316000812,17,71.0,73.0,72.0,-1.0
34,Athena,Deng,Athena Deng,17.80125,17.05125,18.68109375,1.6298437499999991,0.41640216008498016,16,72.0,74.0,70.0,-4.0
19,Andrey,Zenin,Andrey Zenin,17.783529411764707,16.59058823529412,18.87294117647059,2.2823529411764696,0.5866034184864003,17,73.0,71.0,78.0,7.0
79,Zuzanna,Sejbuk,Zuzanna Sejbuk,17.722352941176467,16.853823529411763,18.663882352941172,1.8100588235294097,0.47686562052216175,17,74.0,76.0,73.0,-3.0
37,Yu-Ang,Fan,Yu-Ang Fan,17.711764705882352,16.615029411764706,18.79764705882353,2.182617647058823,0.5637970454978555,17,75.0,72.0,75.0,3.0
48,Antoni,Kłeczek,Antoni Kłeczek,17.639333333333337,16.608,18.674666666666667,2.0666666666666664,0.52759914409458,15,76.0,75.0,76.0,1.0
74,Arisa,Onoda,Arisa Onoda,17.625,16.59375,18.53125,1.9375,0.4815338286403147,16,77.0,78.0,77.0,-1.0
70,Yulia,Nakashima,Yulia Nakashima,17.560588235294116,16.799411764705884,18.352941176470587,1.5535294117647034,0.3871664188446214,17,78.0,79.0,74.0,-5.0
13,Ryota,Yamazaki,Ryota Yamazaki,17.536470588235293,16.508735294117646,18.539999999999996,2.03126470588235,0.5087713586905961,17,79.0,77.0,79.0,2.0
21,Yonghuan,Zhong,Yonghuan Zhong,17.3325,16.4375,18.2276875,1.7901874999999983,0.4747843681872854,16,80.0,80.0,80.0,0.0
60,Hao-Wei,Lin,Hao-Wei Lin,17.221176470588233,16.228147058823527,18.111794117647058,1.8836470588235308,0.48821337729829817,17,81.0,81.0,82.0,1.0
4,Ryan,Wang,Ryan Wang,17.065882352941177,16.41176470588235,17.779000000000003,1.367235294117652,0.3509859914987685,17,82.0,82.0,81.0,-1.0
2,Chun,Lam U,Chun Lam U,15.7925,15.015,16.5425,1.5274999999999999,0.39926186256641133,16,83.0,83.0,83.0,0.0
61,Pedro Lopez,Salas,Pedro Lopez Salas,15.334117647058823,14.185882352941178,16.334117647058825,2.1482352941176472,0.5404737635134262,17,84.0,84.0,84.0,0.0
