Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
62,Eric,Lu,Eric Lu,23.293333333333333,22.706666666666667,23.933333333333334,1.2266666666666666,0.30545625211403954,15,1.0,1.0,1.0,0.0
5,Zitong,Wang,Zitong Wang,22.795,22.1075,23.396625,1.2891249999999985,0.32877172322715037,16,2.0,2.0,2.0,0.0
29,Kevin,Chen,Kevin Chen,22.363529411764706,21.829558823529414,22.885882352941177,1.0563235294117632,0.27675488349388905,17,3.0,3.0,3.0,0.0
57,Tianyou,Li,Tianyou Li,21.98235294117647,21.345882352941175,22.62235294117647,1.276470588235295,0.33156807379251313,17,4.0,4.0,4.0,0.0
64,Tianyao,Lyu,Tianyao Lyu,21.433125,20.659375,22.10125,1.4418749999999996,0.3643354953520689,16,5.0,5.0,6.0,1.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.364705882352936,20.71764705882353,21.96941176470588,1.2517647058823513,0.32471660025789456,17,6.0,6.0,5.0,-1.0
81,Miyu,Shindo,Miyu Shindo,21.06235294117647,20.481088235294116,21.65058823529412,1.1695000000000029,0.3035469885562885,17,7.0,7.0,7.0,0.0
53,Hyo,Lee,Hyo Lee,20.78875,20.238125,21.339375,1.1012500000000003,0.28314759945055046,16,8.0,11.0,8.0,-3.0
47,David,Khrikuli,David Khrikuli,20.77235294117647,20.031764705882352,21.454117647058823,1.4223529411764702,0.3610245226988957,17,9.0,8.0,11.0,3.0
24,Piotr,Alexewicz,Piotr Alexewicz,20.738823529411768,20.032529411764706,21.447058823529414,1.4145294117647076,0.3645074098211627,17,10.0,9.0,10.0,1.0
15,William,Yang,William Yang,20.690625,19.952203125,21.405296875,1.4530937500000007,0.365917062323704,16,11.0,10.0,12.0,2.0
3,Tomoharu,Ushida,Tomoharu Ushida,20.5775,20.0625,21.08396875,1.0214687500000004,0.26571631745329005,16,12.0,13.0,9.0,-4.0
73,Vincent,Ong,Vincent Ong,20.55,19.87529411764706,21.16941176470588,1.2941176470588225,0.3308487831943415,17,13.0,12.0,13.0,1.0
54,Hyuk,Lee,Hyuk Lee,20.03,19.4675,20.5925,1.125,0.2828690041233751,16,14.0,14.0,14.0,0.0
39,Yang (Jack),Gao,Yang (Jack) Gao,19.88235294117647,19.29264705882353,20.530882352941177,1.238235294117647,0.32957705411948207,17,15.0,15.0,15.0,0.0
58,Xiaoxuan,Li,Xiaoxuan Li,19.8525,19.25,20.455,1.2049999999999983,0.3084544163952751,16,16.0,16.0,17.0,1.0
11,Yifan,Wu,Yifan Wu,19.795294117647057,19.258823529411764,20.310764705882352,1.0519411764705886,0.27016725790571045,17,17.0,17.0,16.0,-1.0
41,Eric,Guo,Eric Guo,19.54470588235294,18.814117647058826,20.300235294117645,1.486117647058819,0.3823534363055616,17,18.0,18.0,18.0,0.0
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,19.485294117647058,18.76132352941177,20.24705882352941,1.4857352941176423,0.3849925188685807,17,19.0,19.0,19.0,0.0
75,Piotr,Pawlak,Piotr Pawlak,19.311176470588233,18.574029411764705,20.044794117647058,1.4707647058823525,0.37367352843530033,17,20.0,20.0,20.0,0.0
