cluster,n_members,avg_mean_score,avg_std_score
0,5,16.81332803391627,2.9459878368209984
1,14,19.319716568558295,2.277720736494605
2,20,19.499383741232748,2.2331830795617025
3,23,20.738265626099164,1.6991784890178072
4,22,18.12906798851873,2.1988848614614174
