cluster,n_members,avg_mean_score,avg_std_score,avg_n_stages
0,20,20.807414654686053,1.9561616650366722,3.1
1,1,21.044117647058822,2.728696717665297,4.0
2,19,20.3666861139358,1.9295676941858706,2.3684210526315788
