judge1,judge2,kendall_tau,tau_p_value,pearson_r,n_common,agreement_level
Yulianna Avdeeva,Sa Chen,0.19342166741479191,0.0022233140573785053,0.24650345921088823,155,weak
Robert McDonald,John Rink,0.1920592084733075,0.0023524889343982535,0.2682420213783874,140,weak
John Alison,Piotr Paleczny,0.18821182822263618,0.0019507939896359504,0.25822705151649633,151,weak
Nelson Goerner,Kevin Kenner,0.1880684337633066,0.0016731267261288249,0.2684167991785257,152,weak
John Alison,Momo Kodama,0.18803019243116753,0.0016225446507701143,0.2597332043524191,155,weak
Sa Chen,Momo Kodama,0.1860552581795636,0.0028376366240562244,0.23281292436537676,155,weak
Akiko Ebi,Kevin Kenner,0.1854320463266989,0.0022279993637722663,0.27223609476120963,152,weak
Sa Chen,John Rink,0.18390263053995484,0.0028464160716706053,0.2531585080165433,155,weak
Momo Kodama,Robert McDonald,0.18386687720755593,0.003974300855060882,0.25111563506299,140,weak
Momo Kodama,Ewa Pobłocka,0.1811282736779882,0.0032138029893470288,0.24647403087983702,147,weak
Krzysztof Jabłoński,Piotr Paleczny,0.18028436775013038,0.0032920157806507772,0.22970544378991772,151,weak
Nelson Goerner,Piotr Paleczny,0.18021875619485941,0.003021094013807641,0.2519078517937168,151,weak
Yulianna Avdeeva,Akiko Ebi,0.1787928898370806,0.0035790187415050898,0.23446582143572473,155,weak
Robert McDonald,Piotr Paleczny,0.17756891958913704,0.006350968399097252,0.23777993328087887,136,weak
Piotr Paleczny,K. Popowa-Zydroń,0.1768180884398668,0.005508046283357694,0.23360458432591605,142,weak
Sa Chen,Akiko Ebi,0.17621424654321352,0.004583736387359961,0.20673046009000332,155,weak
Akiko Ebi,K. Popowa-Zydroń,0.17375906179523704,0.005244029553769536,0.22438903530948245,146,weak
Krzysztof Jabłoński,Ewa Pobłocka,0.1732690758264486,0.004554619187063225,0.24770947501332533,147,weak
Sa Chen,Kevin Kenner,0.16825008361201144,0.007015019531733941,0.24080645469196393,152,weak
Yulianna Avdeeva,John Rink,0.16644210919986008,0.006238783734697442,0.17732908765901,155,weak
Momo Kodama,K. Popowa-Zydroń,0.16344312499402797,0.00872315796622359,0.22547050611723435,146,weak
Piotr Paleczny,John Rink,0.16330979350004482,0.007510176698525475,0.21958078522619476,151,weak
Dang Thai Son,Krzysztof Jabłoński,0.16251890060855068,0.010878093757745823,0.21954518576247659,137,weak
Yulianna Avdeeva,Piotr Paleczny,0.15940364511349656,0.011025002777545043,0.17987952172805333,151,weak
Yulianna Avdeeva,Nelson Goerner,0.1575063386589296,0.009297445104253984,0.1689910378472955,155,weak
Krzysztof Jabłoński,John Rink,0.15738264501070162,0.008175672085728185,0.2003226071905466,155,weak
