tie_group_size,ranks,participants,scores,score_range
9,"1, 2, 3, 4, 5, 7, 8, 9",Kevin Chen / Eric Lu / Piotr Alexewicz / Tianyao Lyu / Shiori Kuwahara / Vincent Ong / David Khrikuli / Zitong Wang / William Yang,"21.58, 21.41, 21.30, 21.25, 21.04, 21.04, 20.72, 20.64, 20.48",1.0999999999999979
2,"10, 11",Miyu Shindo / Tianyou Li,"19.72, 19.09",0.629999999999999
