Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
3,Tomoharu,Ushida,12.915840746253625,12.0701227347385,22.031503644256862,19.880607483295886,14.556997888323046,12.355341628779698,13.041435762531515,13.255203646035465,23.468088567914545,16.081756075111315,13.951390474455135,16.995274658716628,,15.635169623405476,14.904176922807356,8.680555501331654,11.445011173660948
5,Zitong,Wang,16.282210896108577,17.142180545255762,18.623389061518424,12.072825941967219,14.556997888323046,,13.041435762531515,6.44977308508965,8.37895189344313,20.058215526867848,10.642206215480748,19.208042162005835,8.83755278101587,18.048096025559886,10.99289459487873,13.969671213986773,9.438573978384746
11,Yifan,Wu,14.599025821181101,12.0701227347385,11.807159896041542,17.928662097963716,11.443002111676954,8.487391401457874,16.356296765052907,14.956561286271919,12.151236062060985,12.105296623354782,17.26057473342952,12.569739652138214,10.770117561258502,10.809316819096656,10.99289459487873,12.206632643101733,17.46432275948955
12,Miki,Yamagata,11.23265567132615,10.379436797899416,11.807159896041542,17.928662097963716,8.329006335030861,8.487391401457874,14.698866263792212,13.255203646035465,10.265093977752057,16.081756075111315,17.26057473342952,14.782507155427421,8.83755278101587,8.396390416942246,16.859818086771668,13.969671213986773,19.470759954765754
15,William,Yang,14.599025821181101,6.998064924221243,8.399045313303102,15.976716712631552,20.78498944161523,22.02521719708426,18.0137272663136,4.748415444853197,19.69580439929669,20.058215526867848,15.60598260394233,,14.635247121743767,19.25455922663709,22.726741578664605,21.021825497526933,15.457885564213349
20,Jacky,Zhang,11.23265567132615,12.0701227347385,8.399045313303102,12.072825941967219,8.329006335030861,12.355341628779698,8.069144258749427,8.151130725326105,8.37895189344313,8.12883717159825,8.987614085993554,10.356972148849007,18.50037668222903,12.015780020173862,9.037253430914419,8.680555501331654,11.445011173660948
24,Piotr,Alexewicz,11.23265567132615,18.832866482094847,15.215274478779982,14.024771327299385,14.556997888323046,12.355341628779698,16.356296765052907,16.657918926508373,10.265093977752057,6.140607445719982,15.60598260394233,14.782507155427421,14.635247121743767,14.42870642232827,16.859818086771668,13.969671213986773,15.457885564213349
25,Jonas,Aumiller,11.23265567132615,13.760808671577587,11.807159896041542,10.12088055663505,11.443002111676954,18.157266969762436,16.356296765052907,14.956561286271919,12.151236062060985,6.140607445719982,13.951390474455135,12.569739652138214,10.770117561258502,12.015780020173862,7.081612266950106,12.206632643101733,9.438573978384746
26,Yanyan,Bao,9.549470596398674,10.379436797899416,11.807159896041542,8.168935171302884,17.67099366496914,8.487391401457874,8.069144258749427,8.151130725326105,10.265093977752057,10.117066897476516,5.678429827019166,10.356972148849007,16.5678119019864,9.602853618019452,12.948535758843043,12.206632643101733,17.46432275948955
28,Kai-Min,Chang,14.599025821181101,13.760808671577587,8.399045313303102,12.072825941967219,17.67099366496914,,8.069144258749427,14.956561286271919,14.03737814636991,14.093526349233048,12.296798344967941,12.569739652138214,8.83755278101587,18.048096025559886,14.904176922807356,15.732709784871812,13.451448368937148
29,Kevin,Chen,12.915840746253625,17.142180545255762,18.623389061518424,17.928662097963716,20.78498944161523,12.355341628779698,16.356296765052907,16.657918926508373,23.468088567914545,20.058215526867848,17.26057473342952,16.995274658716628,16.5678119019864,13.222243221251066,12.948535758843043,15.732709784871812,21.477197150041953
30,Xuehong,Chen,9.549470596398674,12.0701227347385,11.807159896041542,10.12088055663505,11.443002111676954,12.355341628779698,16.356296765052907,9.852488365562557,14.03737814636991,12.105296623354782,7.333021956506361,16.995274658716628,16.5678119019864,9.602853618019452,18.81545925073598,8.680555501331654,15.457885564213349
31,Zixi,Chen,16.282210896108577,6.998064924221243,11.807159896041542,12.072825941967219,11.443002111676954,8.487391401457874,8.069144258749427,14.956561286271919,14.03737814636991,14.093526349233048,15.60598260394233,14.782507155427421,6.904988000773235,8.396390416942246,10.99289459487873,6.917516930446615,9.438573978384746
