cluster,n_members,avg_mean_score,avg_std_score
0,8,19.91421568627451,2.380667049822103
1,12,19.442939456484346,2.088879506743858
2,11,20.289020233292682,1.9120878213135422
3,6,21.35348583877996,2.3721656265723725
4,3,21.689291101055804,1.857880891332934
