judge,participant_nr,participant_name,avg_difference,consistency,n_stages,type
Akiko Ebi,76,Yehuda Prokopowicz,-1.0799999999999994,1.0632340601516987,3,unfavorite
Nelson Goerner,11,Yifan Wu,1.4333333333333336,0.9957353508281649,3,favorite
Nelson Goerner,15,William Yang,-1.0625,1.6237976320958225,4,unfavorite
Nelson Goerner,24,Piotr Alexewicz,1.9275000000000002,0.8128768356891464,4,favorite
Nelson Goerner,39,Yang (Jack) Gao,1.2166666666666661,1.5897239452880556,3,favorite
Nelson Goerner,41,Eric Guo,1.763333333333333,0.4733802793620465,3,favorite
Nelson Goerner,47,David Khrikuli,1.1775000000000002,1.424611789225401,4,favorite
Nelson Goerner,51,Shiori Kuwahara,1.7649999999999997,0.8224810028201263,4,favorite
Nelson Goerner,62,Eric Lu,1.2824999999999998,1.130229512090355,4,favorite
Nelson Goerner,73,Vincent Ong,2.1174999999999997,0.2035159698893426,4,favorite
Nelson Goerner,81,Miyu Shindo,-1.1174999999999997,0.9498519621498922,4,unfavorite
Krzysztof Jabłoński,5,Zitong Wang,-2.1875,0.480071609241788,4,unfavorite
Krzysztof Jabłoński,11,Yifan Wu,-1.4499999999999993,1.1266173559228825,3,unfavorite
Krzysztof Jabłoński,24,Piotr Alexewicz,-2.16,0.42708313008125165,4,unfavorite
Krzysztof Jabłoński,29,Kevin Chen,1.7350000000000003,0.3350746185553303,4,favorite
Krzysztof Jabłoński,39,Yang (Jack) Gao,-2.3333333333333335,0.4714045207910317,3,unfavorite
Krzysztof Jabłoński,41,Eric Guo,-1.706666666666667,1.0573656993785179,3,unfavorite
Krzysztof Jabłoński,47,David Khrikuli,-1.0599999999999996,1.4829194179051002,4,unfavorite
Krzysztof Jabłoński,51,Shiori Kuwahara,-1.5149999999999997,1.1607217582177047,4,unfavorite
Krzysztof Jabłoński,53,Hyo Lee,-1.2899999999999991,0.5123150072627849,3,unfavorite
Krzysztof Jabłoński,58,Xiaoxuan Li,-1.6266666666666663,1.30080317069451,3,unfavorite
Krzysztof Jabłoński,62,Eric Lu,-2.1325000000000003,0.5363476018404479,4,unfavorite
Krzysztof Jabłoński,75,Piotr Pawlak,-2.1566666666666663,0.6343675765849187,3,unfavorite
Krzysztof Jabłoński,76,Yehuda Prokopowicz,-1.8833333333333329,0.9629237883769532,3,unfavorite
Kevin Kenner,5,Zitong Wang,1.1100000000000003,1.6530426491775705,4,favorite
Kevin Kenner,15,William Yang,1.4375,0.9742785792574935,4,favorite
Kevin Kenner,51,Shiori Kuwahara,-1.6775000000000002,0.5585863854409625,4,unfavorite
Kevin Kenner,58,Xiaoxuan Li,2.103333333333333,0.14613540144521922,3,favorite
Kevin Kenner,64,Tianyao Lyu,1.2325000000000008,0.7156596607326696,4,favorite
Kevin Kenner,75,Piotr Pawlak,-1.53,1.4312465429361452,3,unfavorite
Kevin Kenner,81,Miyu Shindo,1.455,0.7280281587960734,4,favorite
