Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
1,Ziye,Tao,7.105802695608092,12.577404365276672,9.053747654874213,14.972587582931851,11.447273718870706,,8.628519036932335,9.369856574731177,12.515821623125213,14.050451462877783,14.189834781086319,14.864396781627482,9.360646615873339,15.224200168516976,9.603846255063301,8.62058283601386,7.332821539780703
2,Chun,Lam U,1.1834034902382307,8.905194022163617,6.887177739903194,8.125589361184925,1.0,,5.421493701581381,10.678577809592039,11.009488895070323,6.172065491294428,6.50167158022089,6.960975642119675,5.765140862880731,12.377223952815246,6.050254919301724,7.184652308769098,2.8291035581494715
3,Tomoharu,Ushida,13.028201900977955,11.353334250905654,11.220317569845232,12.233788294233081,14.411569346481166,16.376244853154063,18.24959504298519,19.839626453618077,17.034819807289878,12.474774268561111,16.111875581302677,19.606449465332165,,16.64768827636784,18.48782459446724,12.928374417748147,11.836539521411934
4,Ryan,Wang,10.659242218830009,15.02554459401871,9.053747654874213,9.494989005534311,11.447273718870706,8.712376168080421,8.628519036932335,11.987299044452902,9.503156167015433,9.32341987992777,6.50167158022089,5.380291414218114,5.765140862880731,6.683271521411785,7.827050587182513,11.492443890503385,8.834060866991113
5,Zitong,Wang,16.58164142419987,17.47368482276075,13.386887484816251,9.494989005534311,14.411569346481166,,15.042569707634241,10.678577809592039,11.009488895070323,18.777483045827793,18.033916381519035,14.864396781627482,11.158399492369641,18.07117638421871,16.711028926586454,17.236165999482434,17.841496830253575
6,Jan,Widlarz,13.028201900977955,11.353334250905654,11.220317569845232,9.494989005534311,8.482978091260247,10.245149905095149,7.025006369256858,10.678577809592039,11.009488895070323,12.474774268561111,12.267793980869962,10.122344097922797,14.75390524536225,15.224200168516976,,11.492443890503385,14.839018175832756
7,Andrzej,Wierciński,10.659242218830009,13.801474479647691,13.386887484816251,19.08078651598001,8.482978091260247,11.777923642109878,13.439057039958763,9.369856574731177,11.009488895070323,6.172065491294428,14.189834781086319,13.28371255372592,14.75390524536225,9.530247737113516,11.38064192294409,15.800235472237672,
8,Krzysztof,Wierciński,11.843722059903982,6.4570537934215775,9.053747654874213,9.494989005534311,14.411569346481166,13.310697379124605,13.439057039958763,10.678577809592039,11.009488895070323,14.050451462877783,10.345753180653604,10.122344097922797,16.55165812185855,9.530247737113516,9.603846255063301,11.492443890503385,11.836539521411934
9,Victoria,Wong,11.843722059903982,13.801474479647691,11.220317569845232,9.494989005534311,14.411569346481166,10.245149905095149,8.628519036932335,10.678577809592039,9.503156167015433,,8.423712380437248,11.70302832582436,12.956152368865945,13.800712060666111,9.603846255063301,12.928374417748147,10.335300194201523
10,Maiqi,Wu,14.212681742051926,10.129264136534633,9.053747654874213,12.233788294233081,11.447273718870706,13.310697379124605,7.025006369256858,11.987299044452902,15.52848707923499,12.474774268561111,8.423712380437248,8.541659870021237,11.158399492369641,,14.934233258705666,10.056513363258624,14.839018175832756
11,Yifan,Wu,14.212681742051926,16.24961470838973,9.053747654874213,19.08078651598001,17.375864974091627,14.843471116139334,16.646082375309717,19.839626453618077,15.52848707923499,14.050451462877783,19.955957181735393,13.28371255372592,14.75390524536225,16.64768827636784,14.934233258705666,17.236165999482434,19.342736157463985
12,Miki,Yamagata,14.212681742051926,7.681123907792597,6.887177739903194,16.341987227281237,11.447273718870706,10.245149905095149,15.042569707634241,14.604741514174627,15.52848707923499,18.777483045827793,18.033916381519035,16.445081009529044,11.158399492369641,9.530247737113516,9.603846255063301,11.492443890503385,13.337778848622344
13,Ryota,Yamazaki,13.028201900977955,7.681123907792597,11.220317569845232,8.125589361184925,11.447273718870706,10.245149905095149,13.439057039958763,14.604741514174627,11.009488895070323,7.747742685611099,14.189834781086319,6.960975642119675,9.360646615873339,8.106759629262651,7.827050587182513,8.62058283601386,7.332821539780703
