Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
62,Eric,Lu,Eric Lu,23.293333333333333,22.679666666666666,23.866666666666667,1.1870000000000012,0.3019268252776198,15,1.0,1.0,1.0,0.0
5,Zitong,Wang,Zitong Wang,22.795,22.155,23.45896875,1.3039687499999992,0.33739789766683487,16,2.0,2.0,2.0,0.0
29,Kevin,Chen,Kevin Chen,22.363529411764706,21.785882352941176,22.885882352941177,1.1000000000000014,0.27802761178003643,17,3.0,3.0,3.0,0.0
57,Tianyou,Li,Tianyou Li,21.98235294117647,21.338823529411766,22.62235294117647,1.2835294117647038,0.3342029625955048,17,4.0,4.0,4.0,0.0
64,Tianyao,Lyu,Tianyao Lyu,21.433125,20.698125,22.082359375,1.3842343749999984,0.3659455854310641,16,5.0,5.0,5.0,0.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.364705882352936,20.68705882352941,21.984235294117646,1.2971764705882372,0.331419496654361,17,6.0,6.0,6.0,0.0
81,Miyu,Shindo,Miyu Shindo,21.06235294117647,20.532941176470587,21.705882352941178,1.1729411764705908,0.29810890459115713,17,7.0,7.0,7.0,0.0
53,Hyo,Lee,Hyo Lee,20.78875,20.2025,21.41375,1.2112499999999997,0.30666499573791833,16,8.0,10.0,8.0,-2.0
47,David,Khrikuli,David Khrikuli,20.77235294117647,20.09345588235294,21.454117647058823,1.3606617647058812,0.3457040145877338,17,9.0,8.0,10.0,2.0
24,Piotr,Alexewicz,Piotr Alexewicz,20.738823529411768,20.063176470588235,21.445058823529415,1.3818823529411794,0.3586686696573479,17,10.0,9.0,11.0,2.0
15,William,Yang,William Yang,20.690625,20.015,21.405,1.3900000000000006,0.3613997210494351,16,11.0,11.0,12.0,1.0
3,Tomoharu,Ushida,Tomoharu Ushida,20.5775,20.10065625,21.11625,1.0155937500000007,0.26562868486855884,16,12.0,13.0,9.0,-4.0
73,Vincent,Ong,Vincent Ong,20.55,19.92645588235294,21.165970588235297,1.2395147058823568,0.3189257948159131,17,13.0,12.0,13.0,1.0
54,Hyuk,Lee,Hyuk Lee,20.03,19.419812500000003,20.6075,1.1876874999999991,0.30268044618045614,16,14.0,14.0,14.0,0.0
39,Yang (Jack),Gao,Yang (Jack) Gao,19.88235294117647,19.176470588235293,20.529411764705884,1.3529411764705905,0.3465290023662792,17,15.0,15.0,17.0,2.0
58,Xiaoxuan,Li,Xiaoxuan Li,19.8525,19.289,20.509999999999998,1.2209999999999965,0.31625498785592265,16,16.0,16.0,15.0,-1.0
11,Yifan,Wu,Yifan Wu,19.795294117647057,19.265882352941176,20.348235294117643,1.0823529411764667,0.275021569247863,17,17.0,17.0,16.0,-1.0
41,Eric,Guo,Eric Guo,19.54470588235294,18.80623529411765,20.31705882352941,1.5108235294117627,0.3874182674714606,17,18.0,18.0,18.0,0.0
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,19.485294117647058,18.761323529411765,20.285294117647055,1.52397058823529,0.38331038296474657,17,19.0,19.0,19.0,0.0
75,Piotr,Pawlak,Piotr Pawlak,19.311176470588233,18.574117647058824,20.02119117647059,1.4470735294117674,0.3756849813723191,17,20.0,20.0,20.0,0.0
