Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
62,Eric,Lu,Eric Lu,1,1.0,0.0,1,1,0,1,1
29,Kevin,Chen,Kevin Chen,2,2.236,0.42462218500686,2,3,1,2,3
15,William,Yang,William Yang,3,2.764,0.42462218500686,2,3,1,2,3
57,Tianyou,Li,Tianyou Li,4,4.0,0.0,4,4,0,4,4
47,David,Khrikuli,David Khrikuli,5,5.126,0.37963666840809784,5,8,3,5,6
51,Shiori,Kuwahara,Shiori Kuwahara,6,6.151,0.5968240946878736,5,9,4,5,7
73,Vincent,Ong,Vincent Ong,7,6.936,0.6617431525901873,5,9,4,6,8
39,Yang (Jack),Gao,Yang (Jack) Gao,8,7.877,0.5778157145665043,5,10,5,7,9
3,Tomoharu,Ushida,Tomoharu Ushida,9,9.452,0.5811161673882427,7,10,3,8,10
24,Piotr,Alexewicz,Piotr Alexewicz,10,9.458,0.5746616395758464,7,10,3,8,10
81,Miyu,Shindo,Miyu Shindo,11,11.686,0.9712898640467736,11,16,5,11,14
54,Hyuk,Lee,Hyuk Lee,12,12.666,1.0452004592421495,11,15,4,11,14
53,Hyo,Lee,Hyo Lee,13,12.618,1.0450244016289763,11,15,4,11,14
64,Tianyao,Lyu,Tianyao Lyu,14,13.183,1.0952218953253263,11,16,5,11,15
5,Zitong,Wang,Zitong Wang,15,15.014,0.6780884898005569,11,17,6,13,16
83,Gabriele,Strata,Gabriele Strata,16,16.11,0.6433506042586733,14,18,4,15,17
75,Piotr,Pawlak,Piotr Pawlak,17,16.8,0.5347896782848376,15,18,3,16,18
28,Kai-Min,Chang,Kai-Min Chang,18,17.926,0.30744755650354416,15,19,4,17,18
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,19,19.947,1.1533390654963527,18,23,5,19,23
12,Miki,Yamagata,Miki Yamagata,20,20.481,1.2812646096728029,19,23,4,19,23
41,Eric,Guo,Eric Guo,21,21.246,1.2399532249242309,19,23,4,19,23
11,Yifan,Wu,Yifan Wu,22,21.303,1.2701145617620484,19,23,4,19,23
58,Xiaoxuan,Li,Xiaoxuan Li,23,22.02,1.149608629055993,19,23,4,19,23
78,Anthony,Ratinov,Anthony Ratinov,24,24.001,0.03160696125855822,24,25,1,24,24
69,Yumeka,Nakagawa,Yumeka Nakagawa,25,25.065,0.25450933185248825,24,27,3,25,26
30,Xuehong,Chen,Xuehong Chen,26,25.971,0.31647906723826147,25,27,2,25,27
25,Jonas,Aumiller,Jonas Aumiller,27,26.989,0.250756854343007,26,28,2,26,28
46,Adam,Kałduński,Adam Kałduński,28,27.974,0.15913516267626085,27,28,1,27,28
31,Zixi,Chen,Zixi Chen,29,29.326,0.4896161762033603,29,31,2,29,30
68,Nathalia,Milstein,Nathalia Milstein,30,29.75,0.5860887304837041,29,35,6,29,31
77,Hao,Rao,Hao Rao,31,31.942,1.1483187710736076,29,35,6,30,35
45,Zihan,Jin,Zihan Jin,32,32.195,1.1853164134525431,29,35,6,31,35
67,Ruben,Micieli,Ruben Micieli,33,33.006,1.243368006665766,30,35,5,31,35
35,Yubo,Deng,Yubo Deng,34,33.709,1.198465268583116,30,35,5,31,35
59,Zhexiang,Li,Zhexiang Li,35,34.072,1.1094214708576717,30,35,5,31,35
26,Yanyan,Bao,Yanyan Bao,36,36.785,0.8454436705067938,36,40,4,36,38
43,Xiaoyu,Hu,Xiaoyu Hu,37,37.026,0.9215877603353899,36,40,4,36,39
20,Jacky,Zhang,Jacky Zhang,38,37.352,0.8198146131900798,36,40,4,36,39
55,Kwanwook,Lee,Kwanwook Lee,39,39.267,0.6940540324787401,36,40,4,37,40
63,Philipp,Lynov,Philipp Lynov,40,39.57,0.6058877783880444,36,40,4,38,40
